# Constructed from biom file
#OTU ID	13-47-1-PBS-16S_000000000-J99GR	14-34-1-PBS-16S_000000000-J99GR	16-47-2-PBS-16S_000000000-J99GR	20-34-3-PBS-16S_000000000-J99GR	27-47-3-PBS-16S_000000000-J99GR	34-31-2-PBS-16S_000000000-J99GR	39-31-3-PBS-16S_000000000-J99GR	44-47-4-PBS-16S_000000000-J99GR	46-31-4-PBS-16S_000000000-J99GR	50-34-4-PBS-16S_000000000-JCCFG	65-34-2-PBS-16S_000000000-JCCFG	66-31-1-PBS-16S_000000000-JCCFG
97a98800430c042002c16c6ea4ef7ecd	0.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	8.0	28.0
addce1027fd8b1eb7441d2d756389394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	41.0	0.0
8e6a2a3d43007bf5f983f123d365f12d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
1ee297c666c5b2b89b05fb01d191568b	14.0	0.0	53.0	0.0	48.0	13.0	0.0	7.0	8.0	0.0	12.0	48.0
aabcbdfc0545175fbe5fecd98c1504b4	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4bf43e3ab5094ab9ec307395949251ff	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ae9b80e3bad8909da8c820dee77b5f49	0.0	0.0	0.0	9.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	46.0
02282ac213f3467afb9c2ddf6ede88ff	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
f0e0fa6daf43a3089df91de7705f2e78	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d9307f8f19924d857213d4d37f14384	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	6.0	24.0	0.0
12a01482bd57c39c8cf794bb028f5a3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
c106b8aae933411ff7d05ab3f67d5f9f	0.0	0.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eeb0f04d69c824e78a8ca98c08634ef2	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
708d2ac2e7b587fc621a63ce1c77fd49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
0e09374b523e6df0c6848c854d6376f3	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8d136f7d4a587c268ae0fccb3cbf6b59	20.0	764.0	81.0	934.0	20.0	39.0	69.0	0.0	10.0	1295.0	8189.0	134.0
0f47c381ec124bf6fa817fa8bc810c52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
f05b5f74b0ba14ec89c7cae4d4a5bae7	0.0	29.0	55.0	31.0	0.0	0.0	0.0	0.0	0.0	53.0	149.0	0.0
a8cf6a3c188c53cd8b0de2fbad81a771	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	11.0	37.0	38.0
b157fd5b0a3f77103c70d3901c221cc2	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0
6436a7266d2275ac9f2dac6ed7d7b231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
9f5b76d7eab68dbf6466174ca9eddc1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0
a349afc68ea24812d020e0bae53ab45e	0.0	0.0	0.0	0.0	44.0	0.0	19.0	0.0	0.0	0.0	0.0	20.0
15dac1e6a414861c0db80d636ffb8a9a	27.0	0.0	0.0	0.0	68.0	0.0	30.0	0.0	18.0	32.0	93.0	28.0
2311636bcc4ae0cdc0b6123c436772e4	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
328ec4dec2f85e7539543eeae0986d4d	0.0	0.0	0.0	0.0	0.0	18.0	14.0	0.0	25.0	0.0	0.0	27.0
bc33b466aa5105c71240586e1c60ac03	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
53764fdb37ea9c8418f602105fb3ab1c	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88244e1df2d3b7fa60f20ac631775339	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	66.0
9f1d411068858a8a87719bb80dfeaa6d	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	41.0
f9e8e50f847b84c92057d04644e48729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
cdfb334ac653f3ed33464b2425b94108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
0806e8070bba17f5640fdfebb7bd942c	0.0	0.0	21.0	5.0	0.0	30.0	87.0	0.0	12.0	0.0	20.0	191.0
85c615179eddf6fb9a1ccf069660e1eb	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	11.0
328d9e3a82f009f72280a0be7a64b344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	32.0
c678084c3b136c2703846057c2b8d931	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	15.0
363cbe8b823660c4f762869c0b667aca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	13.0
